student_id,lesson_title,rating
26,C,2
26,D,4
26,E,5
26,F,3
26,G,3
26,H,5
26,I,3
26,J,2
26,K,2
26,L,2
26,M,5
26,N,2
26,O,3
26,P,3
26,Q,5
26,R,5
26,S,5
26,T,2
26,U,5
27,A,4
27,B,4
27,C,5
27,D,4
27,E,5
27,F,3
27,G,4
27,H,5
27,I,4
27,J,5
27,K,4
27,L,5
27,M,5
27,N,4
27,O,5
27,P,5
27,Q,4
27,R,4
27,S,5
27,T,4
27,U,5
28,A,4
28,B,4
28,C,3
28,D,4
28,E,4
28,F,2
28,G,3
28,H,5
28,I,3
28,J,2
28,K,3
28,L,4
28,M,5
28,N,3
28,O,5
28,P,3
28,Q,2
28,R,5
28,S,5
28,T,1
28,U,5
29,A,3
29,B,4
29,C,2
29,D,4
29,E,4
29,F,3
29,G,4
29,H,3
29,I,4
29,J,3
29,K,4
29,L,3
29,M,4
29,N,3
29,O,4
29,P,4
29,Q,4
29,R,4
29,S,4
29,T,4
29,U,4
30,A,2
30,B,5
30,C,3
30,D,4
30,E,2
30,F,2
30,G,5
30,H,5
30,I,4
30,J,2
30,K,2
30,L,2
30,M,5
30,N,1
30,O,3
30,P,5
30,Q,2
30,R,5
30,S,3
30,T,3
30,U,5
31,A,3
31,B,3
31,C,2
31,D,4
31,E,4
31,F,3
31,G,4
31,H,4
31,I,3
31,J,4
31,K,4
31,L,4
31,M,4
31,N,4
31,O,3
31,P,4
31,Q,4
31,R,4
31,S,4
31,T,4
31,U,4
32,A,5
32,B,5
32,C,5
32,D,5
32,E,5
32,F,3
32,G,4
32,H,4
32,I,4
32,J,4
32,K,4
32,L,3
32,M,5
32,N,4
32,O,3
32,P,3
32,Q,3
32,R,4
32,S,4
32,T,3
32,U,3
33,A,3
33,B,3
33,C,4
33,D,4
33,E,4
33,F,3
33,G,4
33,H,4
33,I,3
33,J,4
33,K,4
33,L,4
33,M,4
33,N,4
33,O,3
33,P,4
33,Q,3
33,R,4
33,S,4
33,T,4
33,U,4
34,A,4
34,B,3
34,C,4
34,D,4
34,E,4
34,F,5
34,G,2
34,H,3
34,I,4
34,J,2
34,K,2
34,L,2
34,M,3
34,N,4
34,O,4
34,P,2
34,Q,4
34,R,2
34,S,4
34,T,2
34,U,4
35,A,5
35,B,3
35,C,4
35,D,4
35,E,3
35,F,4
35,G,5
35,H,5
35,I,3
35,J,5
35,K,4
35,L,4
35,M,5
35,N,1
35,O,5
35,P,5
35,Q,3
35,R,5
35,S,5
35,T,3
35,U,5
36,A,4
36,B,3
36,C,3
36,D,5
36,E,4
36,F,3
36,G,3
36,H,3
36,I,4
36,J,3
36,K,4
36,L,4
36,M,4
36,N,4
36,O,4
36,P,3
36,Q,4
36,R,3
36,S,4
36,T,2
36,U,4
37,A,3
37,B,4
37,C,4
37,D,4
37,E,4
37,F,4
37,G,4
37,H,4
37,I,2
37,J,3
37,K,2
37,L,3
37,M,5
37,N,3
37,O,3
37,P,2
37,Q,4
37,R,4
37,S,4
37,T,4
37,U,4
38,A,4
38,B,3
38,C,2
38,D,3
38,E,4
38,F,4
38,G,3
38,H,5
38,I,3
38,J,2
38,K,3
38,L,2
38,M,5
38,N,2
38,O,3
38,P,4
38,Q,4
38,R,2
38,S,4
38,T,2
38,U,5
39,A,3
39,B,5
39,C,3
39,D,5
39,E,2
39,F,4
39,G,5
39,H,5
39,I,4
39,J,5
39,K,4
39,L,3
39,M,5
39,N,4
39,O,3
39,P,5
39,Q,4
39,R,5
39,S,5
39,T,3
39,U,5
40,A,4
40,B,4
40,C,3
40,D,5
40,E,5
40,F,4
40,G,5
40,H,5
40,I,2
40,J,3
40,K,3
40,L,2
40,M,5
40,N,3
40,O,3
40,P,4
40,Q,2
40,R,5
40,S,5
40,T,5
40,U,5
41,A,4
41,B,4
41,C,4
41,D,4
41,E,5
41,F,3
41,G,4
41,H,5
41,I,4
41,J,4
41,K,4
41,L,4
41,M,5
41,N,5
41,O,5
41,P,5
41,Q,5
41,R,5
41,S,5
41,T,5
41,U,5
42,A,4
42,B,3
42,C,4
42,D,4
42,E,5
42,F,4
42,G,4
42,H,5
42,I,3
42,J,2
42,K,1
42,L,3
42,M,3
42,N,3
42,O,3
42,P,3
42,Q,3
42,R,3
42,S,2
42,T,2
42,U,3
43,A,4
43,B,4
43,C,3
43,D,5
43,E,5
43,F,4
43,G,3
43,H,3
43,I,5
43,J,3
43,K,4
43,L,4
43,M,4
43,N,4
43,O,2
43,P,4
43,Q,4
43,R,4
43,S,4
43,T,3
43,U,3
44,A,5
44,B,5
44,C,5
44,D,4
44,E,1
44,F,1
44,G,1
44,H,5
44,I,1
44,J,3
44,K,5
44,L,5
44,M,5
44,N,2
44,O,5
44,P,4
44,Q,1
44,R,1
44,S,5
44,T,4
44,U,5
45,A,4
45,B,4
45,C,3
45,D,2
45,E,5
45,F,5
45,G,3
45,H,5
45,I,3
45,J,4
45,K,2
45,L,2
45,M,4
45,N,3
45,O,4
45,P,3
45,Q,4
45,R,4
45,S,4
45,T,4
45,U,4
46,A,3
46,B,4
46,C,2
46,D,3
46,E,4
46,F,3
46,G,1
46,H,5
46,I,4
46,J,2
46,K,4
46,L,1
46,M,1
46,N,2
46,O,5
46,P,3
46,Q,2
46,R,3
46,S,4
46,T,5
46,U,4
47,A,4
47,B,4
47,C,4
47,D,4
47,E,4
47,F,3
47,G,4
47,H,5
47,I,2
47,J,2
47,K,2
47,L,2
47,M,5
47,N,3
47,O,5
47,P,4
47,Q,4
47,R,5
47,S,5
47,T,5
47,U,5
48,A,4
48,B,3
48,C,4
48,D,3
48,E,3
48,F,3
48,G,3
48,H,3
48,I,3
48,J,3
48,K,3
48,L,3
48,M,3
48,N,3
48,O,3
48,P,3
48,Q,5
48,R,5
48,S,4
48,T,4
48,U,4
49,A,4
49,B,4
49,C,4
49,D,2
49,E,4
49,F,3
49,G,5
49,H,5
49,I,4
49,J,5
49,K,4
49,L,3
